producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
1800-R+32499,ADHESIVOS,ADHESIVOS,adhesivos,SPRAY DE 500 ML. ADHESIVO TEMPORAL-505,R-32499,18.14,,,,Bote,,500.0,ml,,,,,,,,,,,,false,,false,Único,,0,false,false,false,false,false,false,https://canodiy.es/adhesivos/1800-R+32499.html
3166-R+21765-4008015135119,ADHESIVOS,ADHESIVOS,adhesivos,TUBO (30GR) PEGAMENTO TEXTIL HT2,R-21765,5.06,,,,Tubo,,30.0,g,,,,,,,,,,,,false,,false,Único,,0,false,false,false,false,false,false,https://canodiy.es/adhesivos/3166-R+21765-4008015135119.html
364-R+5250-4058093014363,ADHESIVOS,Cianocrilato,cianocrilato,ADHESIVO FORTE PLUS CIANOCRILATO 20G,R-5250,7.9,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/cianocrilato/364-R+5250-4058093014363.html
365-R+5249-4058093014370,ADHESIVOS,Cianocrilato,cianocrilato,ADHESIVO FORTE PLUS CIANOCRILATO 50G,R-5249,15.25,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/cianocrilato/365-R+5249-4058093014370.html
124-R+3478-9999999022913,ADHESIVOS,Otros Adhesivos,otros-adhesivos,SILICONA PARA PISTOLA TERMOADHESIVA 1KG,R-3478,16.76,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,,0,false,false,false,false,false,false,https://canodiy.es/otros-adhesivos/124-R+3478-9999999022913.html
7175-R+61638-9999999018701,AGUJAS Y LEZNAS,AGUJAS,agujas,AGUJA PARA COSER SUELAS 4035 Nº 3,R-61638,7.79,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,,0,false,false,false,false,false,false,https://canodiy.es/agujas/7175-R+61638-9999999018701.html
7152-R+44901-9999999025945,AGUJAS Y LEZNAS,AGUJAS,agujas,AGUJA PARA COSER SUELAS 4035 Nº 4,R-44901,5.66,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,,0,false,false,false,false,false,false,https://canodiy.es/agujas/7152-R+44901-9999999025945.html
3516-R+22874-9999999014659,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA COSER A MANO TRES FILOS Nº7,R-22874,0.86,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/3516-R+22874-9999999014659.html
1180-r+1908-9999999019449,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº1 - 32 MM,r-1908,3.3,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/1180-r+1908-9999999019449.html
1181-R+43302-9999999002243,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº2 - 50 MM,R-43302,3.43,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/1181-R+43302-9999999002243.html
348-R+42059-9999999015021,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº3 -56 MM,R-42059,3.72,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/348-R+42059-9999999015021.html
1182-R+43303-9999999018299,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,"AGUJA CURVADA Nº3,5- 62 MM",R-43303,3.98,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/1182-R+43303-9999999018299.html
52-R+9184-9999999014802,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº4 - 83 MM,R-9184,4.28,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/52-R+9184-9999999014802.html
53-R+9185-9999999014819,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº5 - 91 MM,R-9185,5.54,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A|B,2,true,true,false,false,false,false,https://canodiy.es/coser-a-mano/53-R+9185-9999999014819.html
