familia,categoria,slug,nombre,referencia,precio_eur,url
ADHESIVOS,ADHESIVOS,adhesivos,SPRAY DE 500 ML. ADHESIVO TEMPORAL-505,R-32499,18.14,https://canodiy.es/adhesivos/1800-R+32499.html
ADHESIVOS,ADHESIVOS,adhesivos,TUBO (30GR) PEGAMENTO TEXTIL HT2,R-21765,5.06,https://canodiy.es/adhesivos/3166-R+21765-4008015135119.html
ADHESIVOS,Cianocrilato,cianocrilato,ADHESIVO FORTE PLUS CIANOCRILATO 20G,R-5250,7.9,https://canodiy.es/cianocrilato/364-R+5250-4058093014363.html
ADHESIVOS,Cianocrilato,cianocrilato,ADHESIVO FORTE PLUS CIANOCRILATO 50G,R-5249,15.25,https://canodiy.es/cianocrilato/365-R+5249-4058093014370.html
ADHESIVOS,Otros Adhesivos,otros-adhesivos,SILICONA PARA PISTOLA TERMOADHESIVA 1KG,R-3478,16.76,https://canodiy.es/otros-adhesivos/124-R+3478-9999999022913.html
AGUJAS Y LEZNAS,AGUJAS,agujas,AGUJA PARA COSER SUELAS 4035 Nº 3,R-61638,7.79,https://canodiy.es/agujas/7175-R+61638-9999999018701.html
AGUJAS Y LEZNAS,AGUJAS,agujas,AGUJA PARA COSER SUELAS 4035 Nº 4,R-44901,5.66,https://canodiy.es/agujas/7152-R+44901-9999999025945.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA COSER A MANO TRES FILOS Nº7,R-22874,0.86,https://canodiy.es/coser-a-mano/3516-R+22874-9999999014659.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº1 - 32 MM,r-1908,3.3,https://canodiy.es/coser-a-mano/1180-r+1908-9999999019449.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº2 - 50 MM,R-43302,3.43,https://canodiy.es/coser-a-mano/1181-R+43302-9999999002243.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº3 -56 MM,R-42059,3.72,https://canodiy.es/coser-a-mano/348-R+42059-9999999015021.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,"AGUJA CURVADA Nº3,5- 62 MM",R-43303,3.98,https://canodiy.es/coser-a-mano/1182-R+43303-9999999018299.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº4 - 83 MM,R-9184,4.28,https://canodiy.es/coser-a-mano/52-R+9184-9999999014802.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº5 - 91 MM,R-9185,5.54,https://canodiy.es/coser-a-mano/53-R+9185-9999999014819.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº6 - 100 MM,R-12600,6.12,https://canodiy.es/coser-a-mano/1183-R+12600-9999999014826.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA CURVADA Nº7 - 110 MM,R-12601,6.96,https://canodiy.es/coser-a-mano/51-R+12601-9999999025952.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº0 - 60 MM,R-43317,0.31,https://canodiy.es/coser-a-mano/1197-R+43317-9999999011566.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº00 - 70 MM,R-2043,0.33,https://canodiy.es/coser-a-mano/54-R+2043-9999999007835.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº000 - 80 MM,R-2066,0.36,https://canodiy.es/coser-a-mano/55-R+2066-9999999007705.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA GUARNICIONERO SIN PUNTA Nº1 - 60 MM,R-43316,0.27,https://canodiy.es/coser-a-mano/1196-R+43316-9999999002250.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 20CMS,R-43307,10.41,https://canodiy.es/coser-a-mano/1188-R+43307-9999999026003.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 25CMS,R-43308,12.74,https://canodiy.es/coser-a-mano/1189-R+43308-9999999026010.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 30CMS,R-43309,14.65,https://canodiy.es/coser-a-mano/1190-R+43309-9999999026027.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 35CMS,R-43310,18.26,https://canodiy.es/coser-a-mano/1191-R+43310-9999999026034.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA DOS PUNTAS 40CMS,R-43311,21.38,https://canodiy.es/coser-a-mano/1192-R+43311-9999999026041.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 10CMS,R-3678,3.88,https://canodiy.es/coser-a-mano/1184-R+3678-9999999013744.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 15CMS,R-43313,5.28,https://canodiy.es/coser-a-mano/1185-R+43313-9999999015595.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 20CMS,R-43314,7.07,https://canodiy.es/coser-a-mano/1186-R+43314-9999999017537.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 25CMS,R-43315,8.84,https://canodiy.es/coser-a-mano/1187-R+43315-9999999026058.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 6CMS.,R-28176,1.84,https://canodiy.es/coser-a-mano/58-R+28176-9999999007330.html
AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 8CMS.,R-3677,2.11,https://canodiy.es/coser-a-mano/57-R+3677-9999999007927.html
